1, 1, 196 
1, 2, 46 
1, 3, 81 
1, 4, 61 
1, 5, 68 
1, 6, 105 
1, 7, 154 
1, 8, 142 
1, 9, 151 
1, 10, 154 
1, 11, 259 
1, 12, 219 
1, 13, 212 
1, 14, 194 
1, 15, 233 
1, 16, 300 
2, 1, 31 
2, 2, 241 
2, 3, 54 
2, 4, 88 
2, 5, 109 
2, 6, 105 
2, 7, 103 
2, 8, 158 
2, 9, 156 
2, 10, 154 
2, 11, 158 
2, 12, 226 
2, 13, 268 
2, 14, 194 
2, 15, 269 
2, 16, 308 
4, 1, 30 
4, 2, 255 
4, 3, 264 
4, 4, 74 
4, 5, 75 
4, 6, 130 
4, 7, 140 
4, 8, 160 
4, 9, 126 
4, 10, 156 
4, 11, 203 
4, 12, 178 
4, 13, 239 
4, 14, 211 
4, 15, 267 
4, 16, 229 
8, 1, 26 
8, 2, 251 
8, 3, 74 
8, 4, 59 
8, 5, 100 
8, 6, 128 
8, 7, 99 
8, 8, 103 
8, 9, 210 
8, 10, 169 
8, 11, 217 
8, 12, 249 
8, 13, 446 
8, 14, 257 
8, 15, 309 
8, 16, 301 
16, 1, 26 
16, 2, 208 
16, 3, 59 
16, 4, 54 
16, 5, 87 
16, 6, 117 
16, 7, 147 
16, 8, 182 
16, 9, 203 
16, 10, 163 
16, 11, 144 
16, 12, 165 
16, 13, 194 
16, 14, 320 
16, 15, 295 
16, 16, 343 
32, 1, 44 
32, 2, 50 
32, 3, 68 
32, 4, 59 
32, 5, 135 
32, 6, 90 
32, 7, 163 
32, 8, 703 
32, 9, 284 
32, 10, 583 
32, 11, 171 
32, 12, 276 
32, 13, 206 
32, 14, 323 
32, 15, 310 
32, 16, 245 
64, 1, 31 
64, 2, 67 
64, 3, 51 
64, 4, 61 
64, 5, 79 
64, 6, 97 
64, 7, 119 
64, 8, 120 
64, 9, 137 
64, 10, 140 
64, 11, 177 
64, 12, 186 
64, 13, 213 
64, 14, 197 
64, 15, 283 
64, 16, 1382 
128, 1, 32 
128, 2, 46 
128, 3, 49 
128, 4, 134 
128, 5, 146 
128, 6, 84 
128, 7, 328 
128, 8, 305 
128, 9, 263 
128, 10, 151 
128, 11, 137 
128, 12, 205 
128, 13, 205 
128, 14, 202 
128, 15, 349 
128, 16, 375 
256, 1, 28 
256, 2, 52 
256, 3, 240 
256, 4, 57 
256, 5, 91 
256, 6, 179 
256, 7, 118 
256, 8, 126 
256, 9, 196 
256, 10, 212 
256, 11, 346 
256, 12, 168 
256, 13, 212 
256, 14, 188 
256, 15, 277 
256, 16, 404 
512, 1, 34 
512, 2, 50 
512, 3, 189 
512, 4, 49 
512, 5, 153 
512, 6, 100 
512, 7, 107 
512, 8, 186 
512, 9, 178 
512, 10, 317 
512, 11, 482 
512, 12, 297 
512, 13, 254 
512, 14, 225 
512, 15, 929 
512, 16, 237 
1024, 1, 41 
1024, 2, 49 
1024, 3, 62 
1024, 4, 141 
1024, 5, 99 
1024, 6, 125 
1024, 7, 100 
1024, 8, 150 
1024, 9, 350 
1024, 10, 306 
1024, 11, 176 
1024, 12, 493 
1024, 13, 252 
1024, 14, 527 
1024, 15, 408 
1024, 16, 375 
2048, 1, 55 
2048, 2, 56 
2048, 3, 67 
2048, 4, 85 
2048, 5, 89 
2048, 6, 137 
2048, 7, 142 
