1, 1, 117 
1, 2, 158 
1, 3, 183 
1, 4, 231 
1, 5, 238 
1, 6, 422 
1, 7, 262 
1, 8, 378 
1, 9, 413 
1, 10, 492 
1, 11, 472 
1, 12, 571 
1, 13, 460 
1, 14, 575 
1, 15, 564 
1, 16, 682 
2, 1, 95 
2, 2, 177 
2, 3, 210 
2, 4, 192 
2, 5, 294 
2, 6, 355 
2, 7, 302 
2, 8, 516 
2, 9, 630 
2, 10, 445 
2, 11, 530 
2, 12, 499 
2, 13, 533 
2, 14, 646 
2, 15, 670 
2, 16, 667 
4, 1, 107 
4, 2, 153 
4, 3, 163 
4, 4, 184 
4, 5, 303 
4, 6, 306 
4, 7, 405 
4, 8, 396 
4, 9, 400 
4, 10, 750 
4, 11, 468 
4, 12, 477 
4, 13, 551 
4, 14, 497 
4, 15, 652 
4, 16, 661 
8, 1, 112 
8, 2, 173 
8, 3, 348 
8, 4, 198 
8, 5, 243 
8, 6, 281 
8, 7, 604 
8, 8, 370 
8, 9, 400 
8, 10, 396 
8, 11, 492 
8, 12, 796 
8, 13, 671 
8, 14, 599 
8, 15, 703 
8, 16, 608 
16, 1, 84 
16, 2, 161 
16, 3, 133 
16, 4, 199 
16, 5, 350 
16, 6, 305 
16, 7, 339 
16, 8, 358 
16, 9, 380 
16, 10, 424 
16, 11, 451 
16, 12, 544 
16, 13, 602 
16, 14, 766 
16, 15, 615 
16, 16, 647 
32, 1, 102 
32, 2, 171 
32, 3, 163 
32, 4, 228 
32, 5, 259 
32, 6, 252 
32, 7, 552 
32, 8, 389 
32, 9, 443 
32, 10, 549 
32, 11, 639 
32, 12, 620 
32, 13, 749 
32, 14, 708 
32, 15, 612 
32, 16, 691 
64, 1, 94 
64, 2, 129 
64, 3, 166 
64, 4, 215 
64, 5, 261 
64, 6, 315 
64, 7, 349 
64, 8, 712 
64, 9, 404 
64, 10, 383 
64, 11, 523 
64, 12, 520 
64, 13, 576 
64, 14, 501 
64, 15, 560 
64, 16, 966 
128, 1, 109 
128, 2, 160 
128, 3, 506 
128, 4, 202 
128, 5, 220 
128, 6, 413 
128, 7, 567 
128, 8, 455 
128, 9, 400 
128, 10, 697 
128, 11, 415 
128, 12, 601 
128, 13, 460 
128, 14, 621 
128, 15, 810 
128, 16, 767 
256, 1, 107 
256, 2, 129 
256, 3, 185 
256, 4, 201 
256, 5, 251 
256, 6, 446 
256, 7, 303 
256, 8, 419 
256, 9, 458 
256, 10, 764 
256, 11, 479 
256, 12, 824 
256, 13, 686 
256, 14, 588 
256, 15, 614 
256, 16, 722 
512, 1, 103 
512, 2, 382 
512, 3, 179 
512, 4, 413 
512, 5, 302 
512, 6, 328 
512, 7, 343 
512, 8, 418 
512, 9, 460 
512, 10, 822 
512, 11, 593 
512, 12, 439 
512, 13, 608 
512, 14, 722 
512, 15, 723 
512, 16, 803 
1024, 1, 152 
1024, 2, 115 
1024, 3, 208 
1024, 4, 269 
1024, 5, 304 
1024, 6, 232 
1024, 7, 265 
1024, 8, 595 
1024, 9, 386 
1024, 10, 931 
1024, 11, 505 
1024, 12, 561 
1024, 13, 616 
1024, 14, 562 
1024, 15, 661 
1024, 16, 660 
2048, 1, 101 
2048, 2, 223 
2048, 3, 189 
2048, 4, 214 
2048, 5, 352 
2048, 6, 686 
2048, 7, 383 
2048, 8, 400 
2048, 9, 575 
2048, 10, 484 
2048, 11, 471 
2048, 12, 482 
2048, 13, 731 
2048, 14, 637 
2048, 15, 622 
2048, 16, 696 
4096, 1, 123 
4096, 2, 201 
4096, 3, 429 
4096, 4, 189 
4096, 5, 284 
4096, 6, 273 
4096, 7, 322 
4096, 8, 421 
4096, 9, 424 
4096, 10, 491 
4096, 11, 515 
4096, 12, 506 
4096, 13, 804 
4096, 14, 618 
4096, 15, 754 
4096, 16, 865 
8192, 1, 131 
8192, 2, 520 
8192, 3, 188 
8192, 4, 201 
8192, 5, 299 
8192, 6, 476 
8192, 7, 423 
8192, 8, 396 
8192, 9, 1064 
8192, 10, 687 
8192, 11, 804 
8192, 12, 651 
8192, 13, 679 
8192, 14, 723 
8192, 15, 895 
8192, 16, 1025 
16384, 1, 170 
16384, 2, 197 
16384, 3, 708 
16384, 4, 239 
16384, 5, 907 
16384, 6, 258 
16384, 7, 381 
16384, 8, 628 
16384, 9, 374 
16384, 10, 559 
16384, 11, 523 
16384, 12, 614 
16384, 13, 898 
16384, 14, 705 
16384, 15, 748 
16384, 16, 746 
32768, 1, 217 
32768, 2, 348 
32768, 3, 250 
32768, 4, 242 
32768, 5, 338 
